Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
1.0;3.0;4.0;0.4444444444444444;1.0;35.0;60.0;0.4375;0.75;1.0;1.7142857142857142;0.9375;0.9375;0.0;0.0;0.5508474576271186;0.3813559322033898;0.0677966101694915;0.0;0.0;1;0
1.0;4.0;4.0;0.7727272727272727;1.0;39.0;59.0;0.4698795180722891;0.6344086021505376;1.0;1.5128205128205128;0.8333333333333334;2.5;1.0;0.0;0.5306122448979592;0.2857142857142857;0.1496598639455782;0.0;0.0340136054421768;1;0
1.0;3.0;3.0;0.8571428571428571;1.0;35.0;50.0;0.5;0.625;1.0;1.4285714285714286;0.8333333333333334;2.5;1.0;0.0;0.4887218045112781;0.3609022556390977;0.1052631578947368;0.0;0.0451127819548872;1;0
1.0;4.0;3.0;1.0;1.0;37.0;47.0;0.5362318840579711;0.5949367088607594;1.0;1.2702702702702702;0.8333333333333334;2.5;1.0;0.0;0.3902439024390244;0.4268292682926829;0.0853658536585365;0.0;0.0975609756097561;1;0
4.0;4.0;2.0;1.0;0.8214285714285714;43.0;38.0;0.6515151515151515;0.5757575757575758;1.131578947368421;1.0;0.9375;0.9375;0.0;0.0;0.3834586466165413;0.5338345864661654;0.037593984962406;0.0300751879699248;0.0150375939849624;0;1
2.0;4.0;3.0;0.7222222222222222;1.0;41.0;51.0;0.5324675324675324;0.6623376623376623;1.0;1.2439024390243902;0.9375;0.9375;0.0;0.0;0.484375;0.5078125;0.0078125;0.0;0.0;0;1
1.0;3.0;3.0;0.4444444444444444;1.0;25.0;60.0;0.3571428571428571;0.75;1.0;2.4;0.8333333333333334;2.5;1.0;0.0;0.4577464788732394;0.4366197183098591;0.0633802816901408;0.0;0.0422535211267605;1;0
5.0;4.0;3.0;0.5238095238095238;1.0;37.0;57.0;0.4683544303797468;0.7215189873417721;1.0;1.5405405405405406;0.9375;0.9375;0.0;0.0;0.4705882352941176;0.4632352941176471;0.0441176470588235;0.0;0.0220588235294117;0;1
3.0;3.0;4.0;0.3518518518518518;1.0;34.0;69.0;0.3863636363636363;0.7840909090909091;1.0;2.0294117647058822;0.9375;0.9375;0.0;0.0;0.4802631578947368;0.4736842105263157;0.0460526315789473;0.0;0.0;0;1
4.0;3.0;5.0;0.2647058823529412;1.0;33.0;83.0;0.3267326732673267;0.8217821782178217;1.0;2.515151515151515;0.9375;0.9375;0.0;0.0;0.5341614906832298;0.4285714285714285;0.0372670807453416;0.0;0.0;1;0
2.0;2.0;4.0;0.375;1.0;36.0;71.0;0.391304347826087;0.7717391304347826;1.0;1.9722222222222223;0.9375;0.9375;0.0;0.0;0.4610778443113772;0.4550898203592814;0.0;0.0179640718562874;0.0658682634730539;0;1
4.0;1.0;5.0;0.2647058823529412;1.0;23.0;83.0;0.2527472527472527;0.8217821782178217;1.0;3.608695652173913;0.8333333333333334;2.5;1.0;0.0;0.4623655913978494;0.4139784946236559;0.043010752688172;0.0;0.0806451612903225;1;0
4.0;2.0;4.0;0.3076923076923077;1.0;25.0;80.0;0.2777777777777778;0.8;1.0;3.2;0.8333333333333334;2.5;1.0;0.0;0.5182926829268293;0.4146341463414634;0.0121951219512195;0.0;0.0548780487804878;1;0
5.0;3.0;4.0;0.2857142857142857;1.0;31.0;71.0;0.3563218390804598;0.8160919540229885;1.0;2.290322580645161;0.9375;0.9375;0.0;0.0;0.4528301886792453;0.4465408805031446;0.0251572327044025;0.0125786163522012;0.0628930817610062;1;0
2.0;2.0;3.0;0.4897959183673469;1.0;39.0;54.0;0.4431818181818182;0.6923076923076923;1.0;1.3846153846153846;2.5;0.8333333333333334;0.0;1.0;0.4866666666666667;0.4133333333333333;0.0533333333333333;0.0266666666666666;0.02;0;1
