Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
3.0;3.0;0.0;0.7777777777777778;1.0;0.1333333333333333;45.0;63.0;27.0;0.46875;0.6057692307692307;0.2523364485981308;1.6666666666666667;2.333333333333333;1.0;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8559201141226819;0.122681883024251;0.0085592011412268;0.0042796005706134;0.0085592011412268;0.0
3.0;3.0;0.0;0.7692307692307693;1.0;0.0192307692307692;50.0;70.0;22.0;0.4854368932038835;0.6306306306306306;0.1929824561403508;2.272727272727273;3.1818181818181817;1.0;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8526011560693642;0.134393063583815;0.0086705202312138;0.0;0.0043352601156069;2.0
3.0;4.0;1.0;0.5932203389830508;1.0;0.288135593220339;45.0;77.0;31.0;0.371900826446281;0.5968992248062015;0.248;1.4516129032258065;2.4838709677419355;1.0;0.9090909090909092;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8321377331420373;0.1592539454806312;0.0043041606886657;0.0043041606886657;0.0;2.0
1.0;1.0;0.0;1.0;0.8;0.0;35.0;34.0;21.0;0.6862745098039216;0.6296296296296297;0.3684210526315789;1.6666666666666667;1.619047619047619;1.0;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8860759493670886;0.0911392405063291;0.010126582278481;0.0;0.0126582278481012;2.0
1.0;0.0;1.0;0.9375;0.6875;1.0;30.0;29.0;30.0;0.5263157894736842;0.4833333333333333;0.5357142857142857;1.0344827586206895;1.0;1.0344827586206895;1.0;1.2;0.9333333333333332;0.0;0.0;1.0;0.8695652173913043;0.1074168797953964;0.0;0.0153452685421994;0.0076726342710997;2.0
0.0;0.0;1.0;0.4;0.24;1.0;25.0;24.0;39.0;0.4464285714285714;0.4067796610169492;0.7090909090909091;1.0416666666666667;1.0;1.625;1.0;1.2;0.9333333333333332;0.0;0.0;1.0;0.8661417322834646;0.1076115485564304;0.0;0.0;0.0262467191601049;2.0
0.0;1.0;2.0;0.1470588235294117;0.3823529411764705;1.0;20.0;31.0;48.0;0.2985074626865671;0.4428571428571428;0.7272727272727273;1.0;1.55;2.4;1.0;1.2;0.9333333333333332;0.0;0.0;1.0;0.851063829787234;0.1382978723404255;0.0;0.0079787234042553;0.0026595744680851;2.0
0.0;1.0;1.0;0.0;1.0;0.72;15.0;43.0;32.0;0.2586206896551724;0.7049180327868853;0.5614035087719298;1.0;2.8666666666666667;2.1333333333333333;1.0;1.2;0.9333333333333332;0.0;0.0;1.0;0.8201892744479495;0.1356466876971608;0.0;0.0;0.0441640378548895;0.0
0.0;1.0;0.0;0.5;1.0;0.65;20.0;38.0;27.0;0.3773584905660377;0.6229508196721312;0.4736842105263157;1.0;1.9;1.35;0.9090909090909092;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8116883116883117;0.1396103896103896;0.0097402597402597;0.0;0.0389610389610389;0.0
1.0;1.0;0.0;1.0;1.0;0.4615384615384615;23.0;31.0;20.0;0.5476190476190477;0.62;0.4347826086956521;1.15;1.55;1.0;0.9090909090909092;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8676470588235294;0.1176470588235294;0.0;0.0;0.0147058823529411;2.0
0.0;0.0;0.0;0.0;0.3076923076923077;1.0;15.0;22.0;34.0;0.46875;0.6285714285714286;0.8947368421052632;1.0;1.4666666666666666;2.2666666666666666;0.9375;1.125;1.3125;0.0;0.0;0.0;0.7319587628865979;0.1752577319587628;0.0309278350515463;0.0309278350515463;0.0309278350515463;0.0
