Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.1538461538461538;4.0;15.0;29.0;19.0;0.2105263157894736;0.5;0.935483870967742;0.59375;1.0;3.75;7.25;4.75;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6625386996904025;0.2724458204334365;0.0464396284829721;0.0;0.0185758513931888;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;19.0;16.0;17.0;0.7777777777777778;1.0;0.8;0.8095238095238095;1.0;1.3571428571428572;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6808510638297872;0.2955082742316784;0.0094562647754137;0.0047281323877068;0.0094562647754137;2.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;10.0;17.0;0.7777777777777778;0.7894736842105263;1.0;0.8095238095238095;1.4;1.5;1.0;1.7;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7251732101616628;0.2378752886836027;0.0092378752886836;0.0046189376443418;0.023094688221709;2.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;18.0;6.0;17.0;0.8235294117647058;1.0;0.6666666666666666;0.85;2.333333333333333;3.0;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7516339869281046;0.2113289760348584;0.0065359477124183;0.008714596949891;0.0217864923747276;2.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.333333333333333;2.5;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7737068965517241;0.2112068965517241;0.0;0.0043103448275862;0.0107758620689655;2.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.7336065573770492;0.2418032786885245;0.0;0.0122950819672131;0.0122950819672131;2.0
0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;1.0;14.0;15.0;12.0;26.0;0.4827586206896552;0.5;0.5714285714285714;0.8125;1.1666666666666667;1.25;1.0;2.1666666666666665;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.6625;0.275;0.0625;0.0;0.0;2.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;15.0;6.0;17.0;1.0;0.9375;0.8571428571428571;0.9444444444444444;2.5;2.5;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.6546762589928058;0.2949640287769784;0.0071942446043165;0.0;0.0431654676258992;2.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.333333333333333;2.5;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.572463768115942;0.391304347826087;0.0;0.0;0.036231884057971;2.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.333333333333333;2.5;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.5294117647058824;0.3781512605042016;0.0;0.042016806722689;0.0504201680672268;2.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.333333333333333;2.5;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
