Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;10.0;16.0;1.0;0.943089430894309;128.0;131.0;0.5245901639344263;0.515748031496063;1.0;1.0234375;0.8333333333333334;2.5;1.0;0.0;0.7684887459807074;0.14790996784565916;0.08360128617363344;0.0;0.0;0.0
1.0;11.0;16.0;1.0;0.9047619047619048;131.0;129.0;0.5346938775510204;0.5058823529411764;1.0155038759689923;1.0;0.8333333333333334;2.5;1.0;0.0;0.7947019867549668;0.13245033112582782;0.0728476821192053;0.0;0.0;0.0
2.0;11.0;16.0;1.0;0.8682170542635659;144.0;127.0;0.5625;0.49609375;1.1338582677165354;1.0;0.9375;0.9375;0.0;0.0;0.7850162866449512;0.1563517915309446;0.05863192182410423;0.0;0.0;0.0
3.0;11.0;15.0;1.0;0.7697841726618705;154.0;112.0;0.5900383141762452;0.44621513944223107;1.375;1.0;2.5;0.8333333333333334;0.0;1.0;0.8145695364238411;0.1423841059602649;0.04304635761589404;0.0;0.0;1.0
3.0;11.0;16.0;1.0;0.8043478260869565;153.0;116.0;0.5795454545454546;0.4566929133858268;1.3189655172413792;1.0;2.5;0.8333333333333334;0.0;1.0;0.819078947368421;0.13157894736842105;0.049342105263157895;0.0;0.0;1.0
1.0;11.0;17.0;1.0;0.8405797101449275;153.0;131.0;0.5687732342007435;0.48698884758364314;1.16793893129771;1.0;0.9375;0.9375;0.0;0.0;0.8220064724919094;0.12944983818770225;0.04854368932038835;0.0;0.0;1.0
5.0;11.0;18.0;1.0;0.9492753623188406;153.0;146.0;0.5387323943661971;0.5140845070422535;1.047945205479452;1.0;0.9375;0.9375;0.0;0.0;0.8302469135802469;0.12345679012345678;0.046296296296296294;0.0;0.0;1.0
2.0;11.0;19.0;0.9452054794520548;1.0;143.0;161.0;0.49480968858131485;0.5384615384615384;1.0;1.1258741258741258;0.8333333333333334;2.5;1.0;0.0;0.8377581120943953;0.11799410029498525;0.04424778761061947;0.0;0.0;0.0
2.0;12.0;19.0;0.9793103448275862;1.0;147.0;160.0;0.5034246575342466;0.5298013245033113;1.0;1.08843537414966;0.8333333333333334;2.5;1.0;0.0;0.8516320474777448;0.10979228486646884;0.03857566765578635;0.0;0.0;0.0
4.0;13.0;19.0;1.0;0.9863945578231292;162.0;160.0;0.5276872964169381;0.5211726384364821;1.0125;1.0;0.9375;0.9375;0.0;0.0;0.8538011695906432;0.10818713450292397;0.038011695906432746;0.0;0.0;0.0
1.0;14.0;19.0;1.0;0.8944099378881988;176.0;159.0;0.55;0.496875;1.1069182389937107;1.0;0.9375;0.9375;0.0;0.0;0.7901554404145078;0.14248704663212436;0.06735751295336788;0.0;0.0;0.0
5.0;15.0;19.0;1.0;0.8171428571428572;190.0;148.0;0.5705705705705706;0.4582043343653251;1.2837837837837838;1.0;2.5;0.8333333333333334;0.0;1.0;0.8091603053435115;0.13231552162849872;0.058524173027989825;0.0;0.0;1.0
2.0;15.0;20.0;1.0;0.8457142857142858;190.0;163.0;0.5621301775147929;0.4822485207100592;1.165644171779141;1.0;0.9375;0.9375;0.0;0.0;0.8115577889447236;0.1306532663316583;0.05778894472361809;0.0;0.0;0.0
5.0;16.0;20.0;1.0;0.7754010695187166;202.0;150.0;0.5821325648414986;0.44510385756676557;1.3466666666666667;1.0;2.5;0.8333333333333334;0.0;1.0;0.827930174563591;0.13216957605985039;0.034912718204488775;0.004987531172069825;0.0;1.0
3.0;16.0;21.0;1.0;0.8010752688172043;201.0;164.0;0.5742857142857143;0.4685714285714286;1.225609756097561;1.0;0.9375;0.9375;0.0;0.0;0.8459595959595959;0.12626262626262627;0.027777777777777776;0.0;0.0;1.0
1.0;16.0;22.0;1.0;0.8817204301075269;201.0;179.0;0.5506849315068493;0.4904109589041096;1.1229050279329609;1.0;0.9375;0.9375;0.0;0.0;0.851581508515815;0.12165450121654502;0.0267639902676399;0.0;0.0;1.0
5.0;16.0;23.0;1.0;0.9621621621621622;200.0;193.0;0.5291005291005291;0.5105820105820106;1.0362694300518134;1.0;0.9375;0.9375;0.0;0.0;0.825;0.10681818181818181;0.020454545454545454;0.006818181818181818;0.04090909090909091;0.0
2.0;17.0;23.0;1.0;0.89;215.0;193.0;0.5470737913486005;0.4910941475826972;1.1139896373056994;1.0;0.9375;0.9375;0.0;0.0;0.8307692307692308;0.10329670329670329;0.01978021978021978;0.006593406593406593;0.03956043956043956;0.0
2.0;18.0;23.0;1.0;0.827906976744186;220.0;193.0;0.5527638190954773;0.4730392156862745;1.1398963730569949;1.0;0.8333333333333334;2.5;1.0;0.0;0.8361702127659575;0.1;0.019148936170212766;0.006382978723404255;0.03829787234042553;0.0
3.0;19.0;23.0;1.0;0.8073394495412844;233.0;191.0;0.5696821515892421;0.4669926650366748;1.219895287958115;1.0;0.9375;0.9375;0.0;0.0;0.8546637744034707;0.08893709327548807;0.019522776572668113;0.006507592190889371;0.03036876355748373;0.0
1.0;20.0;22.0;1.0;0.7543103448275862;247.0;180.0;0.5853080568720379;0.4368932038834951;1.3722222222222222;1.0;2.5;0.8333333333333334;0.0;1.0;0.875268817204301;0.08172043010752689;0.015053763440860216;0.002150537634408602;0.025806451612903226;1.0
2.0;19.0;23.0;1.0;0.7739130434782608;245.0;193.0;0.5791962174940898;0.4562647754137116;1.2694300518134716;1.0;0.9375;0.9375;0.0;0.0;0.8774193548387097;0.06881720430107527;0.008602150537634409;0.0064516129032258064;0.03870967741935484;1.0
5.0;19.0;24.0;1.0;0.8377192982456141;243.0;206.0;0.5599078341013825;0.47465437788018433;1.1796116504854368;1.0;0.9375;0.9375;0.0;0.0;0.9030172413793104;0.05603448275862069;0.008620689655172414;0.0021551724137931034;0.03017241379310345;0.0
3.0;20.0;23.0;1.0;0.7851239669421488;257.0;205.0;0.5749440715883669;0.45861297539149887;1.2536585365853659;1.0;0.9375;0.9375;0.0;0.0;0.9211087420042644;0.04904051172707889;0.0042643923240938165;0.0;0.0255863539445629;0.0
2.0;21.0;23.0;1.0;0.73828125;271.0;194.0;0.5891304347826087;0.4311111111111111;1.3969072164948453;1.0;2.5;0.8333333333333334;0.0;1.0;0.9008097165991903;0.0708502024291498;0.0;0.0;0.02834008097165992;1.0
1.0;21.0;24.0;1.0;0.7578125;271.0;209.0;0.5827956989247312;0.44946236559139785;1.2966507177033493;1.0;0.9375;0.9375;0.0;0.0;0.9018036072144289;0.07014028056112225;0.0;0.0;0.028056112224448898;0.0
5.0;22.0;24.0;1.0;0.7158671586715867;286.0;209.0;0.5958333333333333;0.4354166666666667;1.368421052631579;1.0;0.9375;0.9375;0.0;0.0;0.9046692607003891;0.06809338521400778;0.0;0.0;0.027237354085603113;0.0
2.0;23.0;24.0;1.0;0.6783216783216783;301.0;199.0;0.6080808080808081;0.41030927835051545;1.5125628140703518;1.0;2.5;0.8333333333333334;0.0;1.0;0.9073724007561437;0.0661625708884688;0.0;0.0;0.026465028355387523;1.0
5.0;22.0;25.0;1.0;0.6947368421052632;290.0;213.0;0.5942622950819673;0.42771084337349397;1.3615023474178405;1.0;0.8333333333333334;2.5;1.0;0.0;0.9061913696060038;0.0600375234521576;0.0;0.01125703564727955;0.0225140712945591;0.0
