Family;Qsize_R10;Qsize_R11;Qsize_R12;Cur_Charge_comparable_R10;Cur_Charge_comparable_R11;Cur_Charge_comparable_R12;Exp_Charge__R10;Exp_Charge__R11;Exp_Charge__R12;Exp_ChargeRates_R10;Exp_ChargeRates_R11;Exp_ChargeRates_R12;Exp_Charge__comparable_R10;Exp_Charge__comparable_R11;Exp_Charge__comparable_R12;Eff_Gross_R10;Eff_Gross_R11;Eff_Gross_R12;predFamilies_R10;predFamilies_R11;predFamilies_R12;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
4.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;4.0;7.0;5.0;0.5;0.875;0.625;1.0;1.75;1.25;0.8;0.8;0.8;0.0;0.0;1.0;0.7391304347826086;0.2267080745341615;0.009316770186335404;0.012422360248447204;0.012422360248447204;2.0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;5.0;0.8;0.8;1.0;1.0;1.0;1.25;0.8;0.8;0.8;0.0;0.0;0.0;0.7186544342507645;0.21712538226299694;0.0030581039755351682;0.0030581039755351682;0.0581039755351682;1.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;4.0;0.6666666666666666;1.0;0.6666666666666666;1.0;1.5;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.7287066246056783;0.20504731861198738;0.0;0.006309148264984227;0.05993690851735016;0.0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;1.0;0.0;0.7207792207792207;0.21753246753246752;0.012987012987012988;0.0;0.048701298701298704;1.0
1.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;8.0;4.0;0.5;1.0;0.5;1.0;2.0;1.0;0.8;0.8;0.8;1.0;0.0;0.0;0.7115384615384616;0.21474358974358973;0.01282051282051282;0.01282051282051282;0.04807692307692308;2.0
5.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.7302631578947368;0.21052631578947367;0.009868421052631578;0.0;0.049342105263157895;2.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;0.0;0.0;0.722397476340694;0.20189274447949526;0.05362776025236593;0.0;0.022082018927444796;1.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;1.0;0.0;0.7090909090909091;0.20303030303030303;0.03636363636363636;0.0;0.051515151515151514;0.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;1.0;0.0;0.7477477477477478;0.1921921921921922;0.009009009009009009;0.0;0.05105105105105105;2.0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.7583081570996979;0.20241691842900303;0.012084592145015106;0.0;0.027190332326283987;2.0
