Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.3333333333333335;2.5;1.0;2.8333333333333335;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8177966101694916;0.17796610169491525;0.0;0.00423728813559322;0.0;2.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;15.0;21.0;17.0;0.4444444444444444;0.75;1.0;0.7727272727272727;1.0;3.75;5.25;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7827868852459017;0.1598360655737705;0.020491803278688523;0.0;0.036885245901639344;0.0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.35714285714285715;0.0;28.0;15.0;11.0;17.0;0.8484848484848485;0.4411764705882353;0.44;0.4722222222222222;2.5454545454545454;1.3636363636363635;1.0;1.5454545454545454;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7403100775193798;0.1511627906976744;0.07364341085271318;0.0;0.03488372093023256;2.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;7.0;17.0;0.9333333333333333;0.9375;1.0;0.9444444444444444;2.0;2.142857142857143;1.0;2.4285714285714284;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7984496124031008;0.16279069767441862;0.003875968992248062;0.0;0.03488372093023256;2.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;12.0;17.0;0.7;0.7142857142857143;1.0;0.7391304347826086;1.1666666666666667;1.25;1.0;1.4166666666666667;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8007662835249042;0.14942528735632185;0.022988505747126436;0.0;0.02681992337164751;2.0
4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;18.0;17.0;0.875;0.7142857142857143;1.0;0.8947368421052632;2.8;1.0;3.6;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8144654088050315;0.1792452830188679;0.006289308176100629;0.0;0.0;1.0
4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;6.0;16.0;17.0;0.9333333333333333;1.0;0.9411764705882353;0.9444444444444444;2.3333333333333335;1.0;2.6666666666666665;2.8333333333333335;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7787356321839081;0.21264367816091953;0.0028735632183908046;0.005747126436781609;0.0;1.0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;17.0;16.0;17.0;0.875;1.0;0.8888888888888888;0.8947368421052632;1.0;1.2142857142857142;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.7834224598930482;0.20320855614973263;0.0053475935828877;0.00267379679144385;0.0053475935828877;0.0
4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;22.0;5.0;16.0;17.0;1.0;0.38461538461538464;0.6666666666666666;0.68;4.4;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7223650385604113;0.2416452442159383;0.02056555269922879;0.0;0.015424164524421594;1.0
4.0;1.0;1.0;0.0;0.0;0.5333333333333333;1.0;0.0;0.0;22.0;20.0;16.0;17.0;0.5945945945945946;0.7142857142857143;0.41025641025641024;0.425;1.375;1.25;1.0;1.0625;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.6955445544554455;0.23267326732673269;0.05693069306930693;0.0;0.01485148514851485;1.0
1.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;6.0;19.0;16.0;17.0;0.6;0.9047619047619048;0.7272727272727273;0.7391304347826086;1.0;3.1666666666666665;2.6666666666666665;2.8333333333333335;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7513966480446927;0.2122905027932961;0.01675977653631285;0.008379888268156424;0.0111731843575419;0.0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;5.0;16.0;17.0;1.0;1.0;1.0;1.0;2.8;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7927170868347339;0.17366946778711484;0.0;0.011204481792717087;0.022408963585434174;1.0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;19.0;16.0;17.0;0.5;1.0;0.8;0.8095238095238095;1.0;4.75;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7433862433862434;0.21164021164021163;0.010582010582010581;0.007936507936507936;0.026455026455026454;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;5.0;16.0;16.0;17.0;0.8333333333333334;0.9411764705882353;0.8888888888888888;0.8947368421052632;1.0;3.2;3.2;3.4;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.793010752688172;0.19086021505376344;0.005376344086021506;0.0;0.010752688172043012;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;3.75;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8245125348189415;0.1392757660167131;0.0;0.005571030640668524;0.03064066852367688;0.0
4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;5.0;16.0;17.0;1.0;0.8333333333333334;0.9411764705882353;0.9444444444444444;3.0;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7945205479452054;0.16164383561643836;0.0027397260273972603;0.0;0.0410958904109589;1.0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;18.0;16.0;17.0;0.5714285714285714;1.0;0.8421052631578947;0.85;1.0;4.5;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.77088948787062;0.18328840970350405;0.008086253369272238;0.008086253369272238;0.029649595687331536;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;3.75;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7950819672131147;0.1721311475409836;0.0;0.01366120218579235;0.01912568306010929;0.0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;5.0;16.0;17.0;1.0;1.0;1.0;1.0;2.8;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8173913043478261;0.1565217391304348;0.0;0.002898550724637681;0.02318840579710145;1.0
5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;7.0;1.0;1.0;1.0;1.0;2.0;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.7964601769911505;0.1887905604719764;0.0;0.008849557522123894;0.0058997050147492625;1.0
