Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
3.0;2.0;0.0;1.0;0.0;63.0;34.0;1.0;0.5573770491803278;1.8529411764705883;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9083665338645418;0.037848605577689244;0.053784860557768925;1.0
3.0;0.0;1.0;0.5;1.0;43.0;24.0;0.7543859649122807;0.7741935483870968;1.7916666666666667;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.925754060324826;0.025522041763341066;0.048723897911832945;1.0
3.0;0.0;1.0;0.05555555555555555;1.0;37.0;28.0;0.6727272727272727;0.9655172413793104;1.3214285714285714;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9382716049382716;0.014814814814814815;0.04691358024691358;1.0
3.0;0.0;2.0;0.0;1.0;36.0;36.0;0.5806451612903226;1.0;1.0;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.928395061728395;0.007407407407407408;0.06419753086419754;1.0
3.0;0.0;3.0;0.0;1.0;36.0;42.0;0.5294117647058824;1.0;1.0;1.1666666666666667;3.272727272727273;0.9090909090909091;0.0;1.0;0.92;0.0;0.08;1.0
2.0;0.0;3.0;0.0;1.0;28.0;75.0;0.4444444444444444;1.0;1.0;2.6785714285714284;0.9655172413793104;1.3793103448275863;0.0;0.0;0.8712871287128713;0.04207920792079208;0.08663366336633663;0.0
2.0;1.0;1.0;0.5882352941176471;1.0;18.0;57.0;0.5142857142857142;0.8507462686567164;1.0;3.1666666666666665;0.8888888888888888;4.444444444444445;1.0;0.0;0.8701657458563536;0.055248618784530384;0.07458563535911603;0.0
1.0;1.0;1.0;1.0;0.9285714285714286;43.0;36.0;0.7678571428571429;0.72;1.1944444444444444;1.0;1.2083333333333333;0.9583333333333334;0.0;0.0;0.8365122615803815;0.08991825613079019;0.07356948228882834;0.0
1.0;1.0;0.0;1.0;0.08823529411764706;44.0;26.0;0.9361702127659575;0.43333333333333335;1.6923076923076923;1.0;0.9090909090909091;2.090909090909091;1.0;0.0;0.8587570621468926;0.03672316384180791;0.10451977401129943;0.0
4.0;2.0;0.0;1.0;0.0;69.0;28.0;1.0;0.4117647058823529;2.4642857142857144;1.0;1.0;0.9655172413793104;0.0;0.0;0.8204419889502762;0.06906077348066299;0.11049723756906077;1.0
