Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
1.0;1.0;0.0;0.0;1.0;0.0;0.0;32.0;19.0;3.0;1.0;0.48717948717948717;0.13043478260869565;10.666666666666666;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9647577092511013;0.022026431718061675;0.013215859030837005;0;0;1
1.0;1.0;0.0;0.0;1.0;0.0;0.0;23.0;19.0;3.0;1.0;0.6333333333333333;0.21428571428571427;7.666666666666667;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9839449541284404;0.01261467889908257;0.0034403669724770644;0;0;1
1.0;1.0;0.0;0.0;1.0;0.0;0.2;22.0;19.0;5.0;0.9166666666666666;0.6129032258064516;0.3333333333333333;4.4;3.8;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9851428571428571;0.013714285714285714;0.001142857142857143;0;0;1
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;3.0;1.0;1.0;1.0;4.0;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9610678531701891;0.0;0.0389321468298109;1;0;0
5.0;1.0;0.0;0.0;1.0;0.0;0.0;28.0;26.0;14.0;1.0;0.8125;0.7;2.0;1.8571428571428572;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;0.9668571428571429;0.006857142857142857;0.026285714285714287;0;0;1
1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;19.0;25.0;0.5;0.9047619047619048;1.0;1.0;9.5;12.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9832535885167464;0.0023923444976076554;0.014354066985645933;1;0;0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;19.0;23.0;1.0;1.0;1.0;1.0;9.5;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9678188319427891;0.0;0.03218116805721097;1;0;0
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9874055415617129;0.0;0.012594458438287154;1;0;0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;10.0;26.0;22.0;1.0;0.8125;0.7857142857142857;1.0;2.6;2.2;0.8;5.2;4.4;1.0;0.0;0.0;0.9921363040629095;0.007863695937090432;0.0;1;0;0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;10.0;26.0;22.0;1.0;0.8125;0.7857142857142857;1.0;2.6;2.2;0.8;5.2;4.4;1.0;0.0;0.0;0.9920529801324504;0.007947019867549669;0.0;1;0;0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;23.0;6.0;20.0;1.0;0.8571428571428571;0.9523809523809523;3.8333333333333335;1.0;3.3333333333333335;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9507772020725389;0.0012953367875647669;0.04792746113989637;0;1;1
3.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;27.0;22.0;0.8;1.0;0.9565217391304348;1.0;6.75;5.5;0.8;5.2;4.4;1.0;0.0;0.0;0.9433465085638999;0.0013175230566534915;0.05533596837944664;1;0;0
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;2.0;1.0;1.0;1.0;11.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9238985313751669;0.0;0.07610146862483311;0;0;1
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;2.0;1.0;1.0;1.0;11.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.907608695652174;0.0;0.09239130434782608;0;0;1
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9312320916905444;0.0;0.06876790830945559;1;0;0
5.0;1.0;0.0;0.0;1.0;0.0;0.0;31.0;26.0;2.0;1.0;0.7428571428571429;0.18181818181818182;15.5;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.925764192139738;0.013100436681222707;0.0611353711790393;0;1;0
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;16.0;2.0;0.6470588235294118;1.0;0.14285714285714285;11.0;8.0;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9129129129129129;0.018018018018018018;0.06906906906906907;0;0;1
