Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected_Resource_encoded_0;Selected_Resource_encoded_1
3.0;5.0;9.0;0.0;1.0;0.0;1.0;0.3620689655172414;0.7241379310344828;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;0.9636363636363636;0.0181818181818181;0.0181818181818181;0;1
3.0;5.0;10.0;0.0;1.0;0.0;1.0;0.3278688524590163;0.7457627118644068;0.0;1.0;1.25;0.75;0.0;1.0;0.9824561403508772;0.0175438596491228;0.0;0;1
5.0;5.0;10.0;0.0;1.0;0.0;1.0;0.2586206896551724;0.7627118644067796;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
5.0;5.0;10.0;0.0;1.0;0.0;1.0;0.2678571428571428;0.7543859649122807;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
5.0;6.0;10.0;0.0;1.0;0.0;1.0;0.2727272727272727;0.75;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
2.0;7.0;9.0;0.0;1.0;0.0;1.0;0.3157894736842105;0.7543859649122807;0.0;1.0;0.8;0.8;0.0;0.0;0.9636363636363636;0.0;0.0363636363636363;0;1
4.0;6.0;10.0;0.0;1.0;0.0;1.0;0.2833333333333333;0.7833333333333333;0.0;1.0;0.8;0.8;0.0;0.0;0.9824561403508772;0.0;0.0175438596491228;0;1
1.0;6.0;11.0;0.0;1.0;0.0;1.0;0.2857142857142857;0.8095238095238095;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;1.0;0.0;0.0;0;1
5.0;6.0;12.0;0.0;1.0;0.0;1.0;0.203125;0.8153846153846154;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
1.0;7.0;12.0;0.0;1.0;0.0;1.0;0.2714285714285714;0.8088235294117647;0.0;1.0;1.2;0.8;0.0;1.0;1.0;0.0;0.0;0;1
2.0;6.0;13.0;0.0;1.0;0.0;1.0;0.2205882352941176;0.8382352941176471;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;0;1
3.0;6.0;13.0;0.0;1.0;0.0;1.0;0.2112676056338028;0.8591549295774648;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;0.9850746268656716;0.0149253731343283;0.0;0;1
2.0;6.0;14.0;0.0;1.0;0.0;1.0;0.1805555555555555;0.875;0.0;1.0;0.8;0.8;0.0;0.0;0.9855072463768116;0.0;0.0144927536231884;0;1
5.0;6.0;15.0;0.0;1.0;0.0;1.0;0.1351351351351351;0.88;0.0;1.0;0.5;1.0;1.0;0.0;0.9864864864864864;0.0;0.0135135135135135;1;0
4.0;7.0;15.0;0.0;1.0;0.0;1.0;0.1688311688311688;0.8831168831168831;0.0;1.0;0.8;0.8;0.0;0.0;0.9605263157894736;0.0;0.0394736842105263;0;1
1.0;6.0;15.0;0.0;1.0;0.0;1.0;0.1645569620253164;0.9113924050632912;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9605263157894736;0.0;0.0394736842105263;0;1
1.0;1.0;15.0;0.0;1.0;0.0;1.0;0.1081081081081081;0.9722222222222222;0.0;1.0;1.2;0.8;0.0;1.0;0.9315068493150684;0.0273972602739726;0.0410958904109589;0;1
5.0;1.0;16.0;0.0;1.0;0.0;1.0;0.0410958904109589;0.972972972972973;0.0;1.0;0.5;1.0;1.0;0.0;0.935064935064935;0.0259740259740259;0.0389610389610389;1;0
2.0;0.0;15.0;0.0;1.0;0.0;1.0;0.0684931506849315;0.9863013698630136;0.0;1.0;0.8;0.8;0.0;0.0;0.92;0.04;0.04;1;0
5.0;0.0;15.0;0.0;1.0;0.0;1.0;0.0704225352112676;0.9577464788732394;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.8961038961038961;0.0259740259740259;0.0779220779220779;1;0
2.0;1.0;14.0;0.0;1.0;0.0;1.0;0.0972222222222222;0.9583333333333334;0.0;1.0;0.8;0.8;0.0;0.0;0.918918918918919;0.027027027027027;0.054054054054054;1;0
1.0;2.0;14.0;0.0;1.0;0.0;1.0;0.1666666666666666;0.9078947368421052;0.0;1.0;1.2;0.8;0.0;1.0;0.9230769230769232;0.0256410256410256;0.0512820512820512;0;1
1.0;2.0;15.0;0.0;1.0;0.0;1.0;0.15;0.9230769230769232;0.0;1.0;1.2;0.8;0.0;1.0;0.9367088607594936;0.0126582278481012;0.050632911392405;0;1
2.0;0.0;15.0;0.0;1.0;0.0;1.0;0.0684931506849315;0.972972972972973;0.0;1.0;0.75;1.0;1.0;0.0;0.9722222222222222;0.0;0.0277777777777777;1;0
