Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;15.0;16.0;25.0;0.3333333333333333;0.6521739130434783;0.6666666666666666;1.0;1.0;3.75;4.0;6.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.40397350993377484;0.4768211920529801;0.052980132450331126;0.0;0.06622516556291391;1;0;0;0
1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;1.0;15.0;15.0;6.0;12.0;0.75;0.7142857142857143;0.5;0.9230769230769231;2.5;2.5;1.0;2.0;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.41353383458646614;0.47368421052631576;0.045112781954887216;0.03759398496240601;0.03007518796992481;0;0;1;0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.4620253164556962;0.46835443037974683;0.0;0.0189873417721519;0.05063291139240506;1;0;0;0
2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;15.0;16.0;17.0;1.0;0.7894736842105263;0.8;0.8095238095238095;1.0;1.875;2.0;2.125;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.4866666666666667;0.48;0.02666666666666667;0.0;0.006666666666666667;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;5.0;16.0;17.0;1.0;0.45454545454545453;0.7272727272727273;0.7391304347826086;4.0;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.5789473684210527;0.38596491228070173;0.03508771929824561;0.0;0.0;0;1;0;0
3.0;1.0;1.0;0.0;0.0;0.4;1.0;0.0;0.0;20.0;20.0;16.0;17.0;0.5714285714285714;0.7692307692307693;0.43243243243243246;0.4473684210526316;1.25;1.25;1.0;1.0625;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.532258064516129;0.3548387096774194;0.11290322580645161;0.0;0.0;0;1;0;0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;7.0;1.0;1.0;1.0;1.0;2.3333333333333335;2.5;1.0;1.1666666666666667;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.4943820224719101;0.449438202247191;0.0;0.0056179775280898875;0.05056179775280899;0;0;1;0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;21.0;17.0;0.7368421052631579;0.5;1.0;0.7727272727272727;2.8;1.0;4.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.48044692737430167;0.4301675977653631;0.027932960893854747;0.0;0.061452513966480445;0;1;0;0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;14.0;16.0;7.0;7.0;0.875;0.9411764705882353;0.875;0.7777777777777778;2.0;2.2857142857142856;1.0;1.0;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.5;0.4375;0.011363636363636364;0.0;0.05113636363636364;0;0;1;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;8.0;7.0;0.875;0.8823529411764706;1.0;0.7777777777777778;2.0;2.142857142857143;1.1428571428571428;1.0;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.48148148148148145;0.49382716049382713;0.012345679012345678;0.0;0.012345679012345678;0;0;1;0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;19.0;17.0;0.8235294117647058;0.625;1.0;0.85;2.8;1.0;3.8;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.51875;0.40625;0.01875;0.00625;0.05;0;1;0;0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;14.0;18.0;7.0;7.0;0.7777777777777778;0.9473684210526315;0.7;0.6363636363636364;2.0;2.5714285714285716;1.0;1.0;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.5266666666666666;0.3933333333333333;0.02666666666666667;0.0;0.05333333333333334;1;0;0;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;6.0;11.0;0.7777777777777778;0.7894736842105263;0.6;1.0;2.3333333333333335;2.5;1.0;1.8333333333333333;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.503448275862069;0.42758620689655175;0.027586206896551724;0.013793103448275862;0.027586206896551724;0;0;1;0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;7.0;1.0;1.0;1.0;1.0;2.3333333333333335;2.5;1.0;1.1666666666666667;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.5732484076433121;0.39490445859872614;0.0;0.006369426751592357;0.025477707006369428;0;0;1;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;11.0;7.0;0.7368421052631579;0.75;1.0;0.5833333333333334;2.0;2.142857142857143;1.5714285714285714;1.0;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.569060773480663;0.39226519337016574;0.027624309392265192;0.0;0.011049723756906077;0;0;0;1
5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;18.0;0.9333333333333333;0.9375;0.9411764705882353;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2857142857142858;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6847826086956522;0.29347826086956524;0.005434782608695652;0.016304347826086956;0.0;1;0;0;0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;19.0;15.0;16.0;17.0;1.0;0.75;0.7619047619047619;0.7727272727272727;1.2666666666666666;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6915887850467289;0.2757009345794392;0.02336448598130841;0.0;0.009345794392523364;0;0;1;0
4.0;0.0;0.0;1.0;0.0;0.21428571428571427;0.0;1.0;0.0;17.0;15.0;30.0;17.0;0.5483870967741935;0.46875;0.9090909090909091;0.5;1.1333333333333333;1.0;2.0;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6728971962616822;0.24766355140186916;0.0794392523364486;0.0;0.0;0;1;0;0
5.0;0.0;1.0;1.0;0.0;0.0;1.0;0.875;0.0;4.0;23.0;23.0;17.0;0.21052631578947367;0.7666666666666667;0.7419354838709677;0.53125;1.0;5.75;5.75;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7038834951456311;0.22330097087378642;0.07281553398058252;0.0;0.0;1;0;0;0
4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.6666666666666666;0.0;14.0;8.0;18.0;17.0;0.7368421052631579;0.8;0.8571428571428571;0.7727272727272727;1.75;1.0;2.25;2.125;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.6798245614035088;0.2631578947368421;0.021929824561403508;0.013157894736842105;0.021929824561403508;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.0;4.0;22.0;17.0;17.0;0.3333333333333333;0.9565217391304348;0.7083333333333334;0.68;1.0;5.5;4.25;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6502057613168725;0.29218106995884774;0.03292181069958848;0.00823045267489712;0.01646090534979424;1;0;1;0
5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;3.75;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7422222222222222;0.2088888888888889;0.0;0.017777777777777778;0.03111111111111111;1;0;0;0
