Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
1.0;1.0;0.0;1.0;0.14285714285714285;17.0;11.0;0.9444444444444444;0.6111111111111112;1.5454545454545454;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4928571428571429;0.40714285714285714;0.04285714285714286;0.0;0.05714285714285714;0;1
1.0;0.0;0.0;0.0;1.0;10.0;7.0;0.7692307692307693;1.0;1.4285714285714286;1.0;2.0;0.8;0.0;1.0;0.6477987421383647;0.3333333333333333;0.0;0.0;0.018867924528301886;0;1
5.0;0.0;1.0;0.0;1.0;6.0;17.0;0.46153846153846156;1.0;1.0;2.8333333333333335;0.8571428571428571;1.4285714285714286;1.0;0.0;0.6319018404907976;0.32515337423312884;0.0;0.0;0.04294478527607362;1;0
1.0;0.0;0.0;0.5;1.0;11.0;6.0;0.8461538461538461;0.8571428571428571;1.8333333333333333;1.0;2.0;0.8;0.0;1.0;0.6642857142857143;0.2714285714285714;0.04285714285714286;0.0;0.02142857142857143;0;1
5.0;0.0;0.0;1.0;1.0;6.0;10.0;1.0;1.0;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7591240875912408;0.21897810218978103;0.014598540145985401;0.0072992700729927005;0.0;1;0
2.0;0.0;0.0;1.0;0.0;14.0;10.0;1.0;0.7142857142857143;1.4;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.696969696969697;0.24848484848484848;0.030303030303030304;0.0;0.024242424242424242;0;1
1.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.7407407407407407;0.2328042328042328;0.0;0.0;0.026455026455026454;1;0
2.0;0.0;0.0;1.0;0.0;15.0;4.0;1.0;0.4444444444444444;3.75;1.0;2.0;0.8;0.0;1.0;0.6387665198237885;0.2687224669603524;0.07048458149779736;0.0;0.022026431718061675;0;1
2.0;0.0;0.0;1.0;1.0;10.0;4.0;1.0;1.0;2.5;1.0;2.0;0.8;0.0;1.0;0.7714285714285715;0.17714285714285713;0.05142857142857143;0.0;0.0;0;1
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.7044334975369458;0.1921182266009852;0.07389162561576355;0.029556650246305417;0.0;1;0
2.0;0.0;0.0;1.0;0.0;16.0;4.0;1.0;0.4;4.0;1.0;2.0;0.8;0.0;1.0;0.7317073170731707;0.1991869918699187;0.044715447154471545;0.0;0.024390243902439025;0;1
1.0;0.0;1.0;0.6;1.0;16.0;20.0;0.6153846153846154;0.7692307692307693;1.0;1.25;0.9090909090909091;0.9090909090909091;0.0;0.0;0.703125;0.19140625;0.04296875;0.0;0.0625;0;1
1.0;0.0;0.0;0.0;1.0;10.0;6.0;0.8333333333333334;1.0;1.6666666666666667;1.0;2.0;0.8;0.0;1.0;0.7448559670781894;0.19753086419753085;0.037037037037037035;0.012345679012345678;0.00823045267489712;0;1
3.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909091;0.9090909090909091;0.0;0.0;0.7777777777777778;0.1839080459770115;0.03065134099616858;0.0;0.007662835249042145;1;0
1.0;1.0;0.0;1.0;0.1111111111111111;19.0;5.0;0.95;0.35714285714285715;3.8;1.0;2.0;0.8;0.0;1.0;0.7472118959107806;0.17100371747211895;0.04460966542750929;0.0;0.03717472118959108;0;1
1.0;0.0;0.0;1.0;0.0;12.0;4.0;1.0;0.6666666666666666;3.0;1.0;2.0;0.8;0.0;1.0;0.8131868131868132;0.16117216117216118;0.003663003663003663;0.014652014652014652;0.007326007326007326;0;1
3.0;0.0;0.0;0.0;1.0;6.0;12.0;0.75;1.0;1.0;2.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.828996282527881;0.14869888475836432;0.0;0.01486988847583643;0.007434944237918215;1;0
1.0;0.0;0.0;1.0;0.0;14.0;4.0;1.0;0.5;3.5;1.0;2.0;0.8;0.0;1.0;0.7849462365591398;0.1971326164874552;0.0;0.0035842293906810036;0.014336917562724014;0;1
3.0;0.0;0.0;1.0;1.0;8.0;12.0;0.8;0.8571428571428571;1.0;1.5;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7971014492753623;0.17753623188405798;0.010869565217391304;0.0;0.014492753623188406;1;0
