Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
5.0;1.0;0.0;0.0;1.0;0.1875;0.375;26.0;21.0;27.0;0.7428571428571429;0.4883720930232558;0.5869565217391305;1.2380952380952381;1.0;1.2857142857142858;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.9088607594936708;0.06329113924050633;0.02278481012658228;0.0;0.005063291139240506;1.0
5.0;1.0;1.0;0.0;0.6875;1.0;0.0625;21.0;28.0;22.0;0.5526315789473685;0.7;0.4489795918367347;1.0;1.3333333333333333;1.0476190476190477;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.9078014184397163;0.06619385342789598;0.026004728132387706;0.0;0.0;2.0
5.0;0.0;1.0;1.0;0.47619047619047616;0.7142857142857143;1.0;20.0;27.0;35.0;0.35714285714285715;0.46551724137931033;0.5833333333333334;1.0;1.35;1.75;0.9090909090909091;1.0909090909090908;1.2727272727272727;1.0;1.0;1.0;0.8681818181818182;0.10454545454545454;0.020454545454545454;0.006818181818181818;0.0;1.0
5.0;0.0;1.0;1.0;0.22727272727272727;1.0;0.7272727272727273;15.0;34.0;30.0;0.2830188679245283;0.6181818181818182;0.5263157894736842;1.0;2.2666666666666666;2.0;0.9090909090909091;1.0909090909090908;1.2727272727272727;1.0;1.0;1.0;0.8657718120805369;0.09619686800894854;0.013422818791946308;0.006711409395973154;0.017897091722595078;2.0
5.0;0.0;1.0;1.0;0.0;0.68;1.0;10.0;29.0;39.0;0.19230769230769232;0.5370370370370371;0.6964285714285714;1.0;2.9;3.9;0.9090909090909091;1.0909090909090908;1.2727272727272727;1.0;1.0;1.0;0.8767441860465116;0.09767441860465116;0.002325581395348837;0.002325581395348837;0.020930232558139535;0.0
3.0;0.0;1.0;1.0;0.2857142857142857;0.6190476190476191;1.0;21.0;31.0;42.0;0.38181818181818183;0.5344827586206896;0.6885245901639344;1.0;1.4761904761904763;2.0;0.9375;1.125;1.3125;0.0;0.0;0.0;0.862144420131291;0.087527352297593;0.024070021881838075;0.002188183807439825;0.024070021881838075;0.0
4.0;0.0;0.0;0.0;1.0;0.2;1.0;25.0;20.0;31.0;0.6756756756756757;0.5;0.7209302325581395;1.25;1.0;1.55;0.9375;1.125;1.3125;0.0;0.0;0.0;0.9105882352941177;0.05176470588235294;0.03529411764705882;0.002352941176470588;0.0;1.0
2.0;0.0;1.0;0.0;0.375;1.0;0.375;21.0;34.0;27.0;0.4883720930232558;0.7391304347826086;0.5510204081632653;1.0;1.619047619047619;1.2857142857142858;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8938679245283019;0.0660377358490566;0.02358490566037736;0.0;0.01650943396226415;2.0
4.0;0.0;1.0;1.0;0.19230769230769232;0.5769230769230769;1.0;20.0;27.0;47.0;0.32786885245901637;0.46551724137931033;0.7014925373134329;1.0;1.35;2.35;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.8396436525612472;0.10244988864142539;0.017817371937639197;0.0066815144766146995;0.0334075723830735;1.0
2.0;0.0;1.0;1.0;0.043478260869565216;1.0;0.9565217391304348;16.0;41.0;36.0;0.26229508196721313;0.640625;0.6;1.0;2.5625;2.25;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.858139534883721;0.10697674418604651;0.004651162790697674;0.004651162790697674;0.02558139534883721;0.0
2.0;1.0;1.0;1.0;0.6111111111111112;1.0;0.9444444444444444;21.0;36.0;31.0;0.375;0.5625;0.5166666666666667;1.0;1.7142857142857142;1.4761904761904763;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8407494145199064;0.10772833723653395;0.03278688524590164;0.00234192037470726;0.01639344262295082;2.0
2.0;0.0;0.0;1.0;0.2;0.48;1.0;15.0;30.0;39.0;0.28846153846153844;0.5;0.6964285714285714;1.0;2.0;2.6;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8696741854636592;0.10526315789473684;0.017543859649122806;0.0;0.007518796992481203;0.0
3.0;0.0;0.0;1.0;0.375;0.1875;1.0;21.0;21.0;37.0;0.525;0.4883720930232558;0.8043478260869565;1.0;1.0;1.7619047619047619;0.9375;1.125;1.3125;0.0;0.0;0.0;0.9088397790055248;0.06906077348066299;0.016574585635359115;0.0055248618784530384;0.0;1.0
3.0;0.0;1.0;0.0;0.0625;1.0;0.6875;16.0;28.0;32.0;0.37209302325581395;0.7;0.6530612244897959;1.0;1.75;2.0;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.8621621621621621;0.07567567567567568;0.01891891891891892;0.0;0.043243243243243246;0.0
3.0;1.0;1.0;0.0;1.0;1.0;0.6666666666666666;25.0;27.0;31.0;0.5;0.5192307692307693;0.5081967213114754;1.0;1.08;1.24;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.8430851063829787;0.10638297872340426;0.013297872340425532;0.0;0.03723404255319149;1.0
3.0;1.0;1.0;0.0;0.4782608695652174;1.0;0.2608695652173913;21.0;35.0;27.0;0.42;0.6730769230769231;0.4426229508196721;1.0;1.6666666666666667;1.2857142857142858;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.8679775280898876;0.11235955056179775;0.0028089887640449437;0.0;0.016853932584269662;2.0
3.0;0.0;1.0;1.0;0.38461538461538464;0.8461538461538461;1.0;20.0;34.0;40.0;0.29411764705882354;0.4857142857142857;0.5555555555555556;1.0;1.7;2.0;0.9090909090909091;1.0909090909090908;1.2727272727272727;1.0;1.0;1.0;0.7953367875647669;0.15025906735751296;0.0;0.007772020725388601;0.046632124352331605;0.0
1.0;0.0;0.0;0.0;0.5;0.6666666666666666;1.0;21.0;26.0;33.0;0.5121951219512195;0.5909090909090909;0.7021276595744681;1.0;1.2380952380952381;1.5714285714285714;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8584615384615385;0.08;0.043076923076923075;0.0;0.018461538461538463;0.0
1.0;1.0;0.0;0.0;1.0;0.35;0.55;30.0;25.0;32.0;0.625;0.44642857142857145;0.5423728813559322;1.2;1.0;1.28;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.8368580060422961;0.1148036253776435;0.03625377643504532;0.0;0.012084592145015106;1.0
1.0;1.0;1.0;0.0;0.75;1.0;0.3;25.0;32.0;27.0;0.49019607843137253;0.6037735849056604;0.43548387096774194;1.0;1.28;1.08;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.8503184713375797;0.1305732484076433;0.01592356687898089;0.0031847133757961785;0.0;0.0
1.0;1.0;1.0;0.0;1.0;0.75;0.05;30.0;27.0;22.0;0.6521739130434783;0.5625;0.38596491228070173;1.3636363636363635;1.2272727272727273;1.0;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.8344155844155844;0.11688311688311688;0.02922077922077922;0.0;0.01948051948051948;0.0
4.0;2.0;0.0;0.0;1.0;0.4230769230769231;0.0;41.0;29.0;21.0;0.7884615384615384;0.5272727272727272;0.3620689655172414;1.9523809523809523;1.380952380952381;1.0;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8383838383838383;0.12457912457912458;0.02356902356902357;0.006734006734006734;0.006734006734006734;2.0
1.0;2.0;0.0;1.0;1.0;0.4;0.8;35.0;22.0;41.0;0.5384615384615384;0.3283582089552239;0.5394736842105263;1.5909090909090908;1.0;1.8636363636363635;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.7767295597484277;0.17295597484276728;0.015723270440251572;0.0031446540880503146;0.031446540880503145;1.0
4.0;2.0;1.0;1.0;1.0;0.8571428571428571;0.7619047619047619;36.0;36.0;30.0;0.5142857142857142;0.4931506849315068;0.43478260869565216;1.2;1.2;1.0;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.7940199335548173;0.18272425249169436;0.0;0.0033222591362126247;0.019933554817275746;2.0
1.0;1.0;1.0;2.0;0.6896551724137931;0.5862068965517241;1.0;30.0;29.0;50.0;0.39473684210526316;0.3717948717948718;0.5747126436781609;1.0344827586206897;1.0;1.7241379310344827;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.7645161290322581;0.2129032258064516;0.0;0.00967741935483871;0.012903225806451613;1.0
4.0;1.0;2.0;1.0;0.64;1.0;1.0;31.0;43.0;39.0;0.38271604938271603;0.5119047619047619;0.4875;1.0;1.3870967741935485;1.2580645161290323;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.7411003236245954;0.21359223300970873;0.032362459546925564;0.0;0.012944983818770227;2.0
