Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;7.0;1.0;1.0;1.0;1.0;2.0;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.88;0.09846153846153846;0.0;0.006153846153846154;0.015384615384615385;3.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;15.0;16.0;20.0;0.5714285714285714;0.8333333333333334;0.8421052631578947;1.0;1.0;3.75;4.0;5.0;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8853503184713376;0.06687898089171974;0.009554140127388535;0.0;0.03821656050955414;1.0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;9.0;16.0;17.0;0.5;1.0;0.8;0.8095238095238095;1.0;2.25;4.0;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.864406779661017;0.11864406779661017;0.011299435028248588;0.0;0.005649717514124294;0.0
5.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;17.0;18.0;16.0;17.0;0.85;0.8571428571428571;0.7272727272727273;0.7391304347826086;1.0625;1.125;1.0;1.0625;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8685714285714285;0.11142857142857143;0.017142857142857144;0.0;0.002857142857142857;2.0
2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;23.0;17.0;0.36363636363636365;0.4166666666666667;1.0;0.7083333333333334;1.0;1.25;5.75;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8289855072463768;0.10434782608695652;0.020289855072463767;0.0;0.0463768115942029;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;17.0;17.0;0.9333333333333333;0.9375;1.0;0.9444444444444444;1.0;1.0714285714285714;1.2142857142857142;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.9240121580547113;0.0547112462006079;0.00303951367781155;0.0060790273556231;0.0121580547112462;0.0
1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;15.0;16.0;17.0;1.0;0.5769230769230769;0.5925925925925926;0.6071428571428571;1.0;1.0;1.0666666666666667;1.1333333333333333;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.873900293255132;0.07917888563049853;0.03225806451612903;0.005865102639296188;0.008797653958944282;2.0
2.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.0;1.0;0.0;24.0;5.0;31.0;17.0;0.6153846153846154;0.16666666666666666;0.7560975609756098;0.40476190476190477;4.8;1.0;6.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8154269972451791;0.10743801652892562;0.06887052341597796;0.0027548209366391185;0.005509641873278237;1.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;15.0;11.0;17.0;0.4444444444444444;0.75;1.0;0.7727272727272727;1.0;3.75;2.75;4.25;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8360215053763441;0.13978494623655913;0.013440860215053764;0.0;0.010752688172043012;0.0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8361111111111111;0.13055555555555556;0.0;0.008333333333333333;0.025;0.0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;26.0;15.0;16.0;7.0;1.0;0.5555555555555556;0.5714285714285714;0.3684210526315789;3.7142857142857144;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.825;0.11388888888888889;0.03333333333333333;0.008333333333333333;0.019444444444444445;3.0
4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;15.0;16.0;17.0;1.0;0.7894736842105263;0.8;0.8095238095238095;1.0;1.875;2.0;2.125;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8717948717948718;0.09116809116809117;0.011396011396011397;0.008547008547008548;0.017094017094017096;1.0
3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;26.0;16.0;7.0;0.56;1.0;0.5925925925925926;0.3888888888888889;2.0;3.7142857142857144;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.884180790960452;0.059322033898305086;0.031073446327683617;0.0;0.025423728813559324;3.0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.5555555555555556;4.0;14.0;16.0;22.0;0.2222222222222222;0.7368421052631579;0.5333333333333333;0.7096774193548387;1.0;3.5;4.0;5.5;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8583333333333333;0.07777777777777778;0.03888888888888889;0.005555555555555556;0.019444444444444445;0.0
